Transaction ID | Date | Total Cost | Customer ID | Product ID | Discounts/Promotions Applied
transaction1 | 2023-09-09 | 396 | customer343 | product172 | 0
transaction2 | 2022-04-28 | 242 | customer344 | product172 | 0
transaction3 | 2023-09-13 | 105 | customer524 | product297 | 0
transaction4 | 2022-10-19 | 64 | customer521 | product294 | 0
transaction5 | 2023-08-20 | 140 | customer893 | product666 | 0
transaction6 | 2023-07-19 | 504 | customer207 | product104 | 0
transaction7 | 2023-01-17 | 140 | customer208 | product104 | 0
transaction8 | 2023-11-13 | 300 | customer977 | product750 | 0
transaction9 | 2022-09-27 | 0 | customer927 | product700 | 0
transaction10 | 2022-05-24 | 32 | customer303 | product152 | 0
transaction11 | 2022-09-20 | 8 | customer304 | product152 | 0
transaction12 | 2023-10-31 | 30 | customer549 | product322 | 0
transaction13 | 2023-01-20 | 220 | customer531 | product304 | 0
transaction14 | 2023-03-03 | 189 | customer710 | product483 | 0
transaction15 | 2023-04-03 | 0 | customer816 | product589 | 0
transaction16 | 2023-10-01 | 1045 | customer275 | product138 | 0
transaction17 | 2023-05-11 | 275 | customer276 | product138 | 0
transaction18 | 2022-11-16 | 424 | customer739 | product512 | 0
transaction19 | 2021-09-24 | 560 | customer834 | product607 | 0
transaction20 | 2023-06-04 | 318 | customer704 | product477 | 0
transaction21 | 2023-02-18 | 50 | customer519 | product292 | 0
transaction22 | 2022-12-13 | 1140 | customer985 | product758 | 0
transaction23 | 2023-01-26 | 0 | customer815 | product588 | 0
transaction24 | 2021-08-15 | 693 | customer247 | product124 | 0
transaction25 | 2023-11-12 | 924 | customer248 | product124 | 0
transaction26 | 2022-07-22 | 6 | customer363 | product182 | 0
transaction27 | 2023-07-03 | 24 | customer364 | product182 | 0
transaction28 | 2023-05-28 | 0 | customer471 | product244 | 0
transaction29 | 2022-08-22 | 0 | customer1000 | product773 | 0
transaction30 | 2023-03-21 | 72 | customer25 | product13 | 0
transaction31 | 2023-09-13 | 180 | customer26 | product13 | 0
transaction32 | 2022-10-23 | 320 | customer225 | product113 | 0
transaction33 | 2022-12-02 | 2080 | customer226 | product113 | 0
transaction34 | 2021-09-24 | 380 | customer673 | product446 | 0
transaction35 | 2022-03-13 | 490 | customer604 | product377 | 0
transaction36 | 2023-10-29 | 90 | customer499 | product272 | 0
transaction37 | 2022-12-25 | 225 | customer628 | product401 | 0
transaction38 | 2023-11-16 | 34 | customer768 | product541 | 0
transaction39 | 2023-05-15 | 76.5 | customer484 | product257 | 0
transaction40 | 2022-05-11 | 810 | customer653 | product426 | 0
transaction41 | 2023-08-08 | 0 | customer731 | product504 | 0
transaction42 | 2023-12-09 | 602 | customer881 | product654 | 0
transaction43 | 2023-04-06 | 400 | customer239 | product120 | 0
transaction44 | 2023-01-03 | 1120 | customer240 | product120 | 0
transaction45 | 2023-02-27 | 123.5 | customer557 | product330 | 0
transaction46 | 2021-09-12 | 138 | customer462 | product235 | 0
transaction47 | 2022-10-20 | 35 | customer550 | product323 | 0
transaction48 | 2022-06-14 | 0 | customer472 | product245 | 0
transaction49 | 2022-02-22 | 6 | customer552 | product325 | 0
transaction50 | 2022-10-29 | 14 | customer515 | product288 | 0
transaction51 | 2022-09-27 | 455 | customer752 | product525 | 0
transaction52 | 2022-02-19 | 144 | customer953 | product726 | 0
transaction53 | 2022-06-19 | 299 | customer669 | product442 | 0
transaction54 | 2022-11-27 | 540 | customer973 | product746 | 0
transaction55 | 2022-10-02 | 528 | customer740 | product513 | 0
transaction56 | 2021-10-25 | 25 | customer353 | product177 | 0
transaction57 | 2022-10-09 | 25 | customer354 | product177 | 0
transaction58 | 2022-11-06 | 70 | customer333 | product167 | 0
transaction59 | 2023-09-13 | 60 | customer334 | product167 | 0
transaction60 | 2023-10-31 | 125 | customer753 | product526 | 0
transaction61 | 2023-08-02 | 0 | customer473 | product246 | 0
transaction62 | 2023-08-15 | 546 | customer339 | product170 | 0
transaction63 | 2023-08-11 | 429 | customer340 | product170 | 0
transaction64 | 2023-01-21 | 552 | customer137 | product69 | 0
transaction65 | 2023-02-08 | 736 | customer138 | product69 | 0
transaction66 | 2023-02-04 | 34 | customer651 | product424 | 0
transaction67 | 2022-07-04 | 209 | customer289 | product145 | 0
transaction68 | 2022-03-31 | 99 | customer290 | product145 | 0
transaction69 | 2022-04-29 | 3 | customer361 | product181 | 0
transaction70 | 2022-11-01 | 21 | customer362 | product181 | 0
transaction71 | 2023-05-27 | 1885 | customer979 | product752 | 0
