Purchase ID | Purchase Date | Delivery Date | Quantity | Supplier Id | Product Id | User Id
purchase1 | 2019-02-06 | 2019-10-31 | 71 | supplier3 | product157 | user1
purchase2 | 2020-01-15 | 2020-04-15 | 82 | supplier3 | product158 | user1
purchase3 | 2019-10-02 | 2021-05-30 | 2 | supplier3 | product159 | user1
purchase4 | 2021-04-16 | 2021-05-08 | 34 | supplier3 | product160 | user1
purchase5 | 2019-03-22 | 2019-12-06 | 46 | supplier3 | product161 | user1
purchase6 | 2020-07-01 | 2021-10-10 | 75 | supplier3 | product162 | user1
purchase7 | 2020-02-18 | 2020-05-24 | 9 | supplier3 | product163 | user1
purchase8 | 2019-07-22 | 2020-12-31 | 66 | supplier3 | product164 | user1
purchase9 | 2020-07-22 | 2021-07-17 | 80 | supplier3 | product165 | user1
purchase10 | 2019-04-29 | 2019-06-05 | 50 | supplier3 | product166 | user1
purchase11 | 2020-05-02 | 2022-04-22 | 34 | supplier3 | product167 | user1
purchase12 | 2020-12-17 | 2021-03-29 | 15 | supplier3 | product168 | user1
purchase13 | 2019-07-25 | 2020-04-20 | 38 | supplier3 | product169 | user1
purchase14 | 2019-11-26 | 2022-02-27 | 49 | supplier3 | product170 | user1
purchase15 | 2019-09-16 | 2021-06-05 | 50 | supplier3 | product171 | user1
purchase16 | 2021-09-16 | 2021-09-19 | 11 | supplier3 | product172 | user1
purchase17 | 2021-10-17 | 2022-06-13 | 61 | supplier3 | product173 | user1
purchase18 | 2020-06-05 | 2021-04-15 | 47 | supplier3 | product174 | user1
purchase19 | 2020-07-19 | 2021-09-22 | 78 | supplier3 | product175 | user1
purchase20 | 2022-08-23 | 2022-10-22 | 20 | supplier3 | product176 | user1
purchase21 | 2019-08-28 | 2021-04-02 | 51 | supplier3 | product177 | user1
purchase22 | 2021-12-27 | 2022-03-09 | 22 | supplier3 | product178 | user1
purchase23 | 2019-06-07 | 2021-06-09 | 21 | supplier3 | product179 | user1
purchase24 | 2021-04-04 | 2022-04-08 | 33 | supplier3 | product180 | user1
purchase25 | 2019-11-06 | 2022-04-06 | 18 | supplier3 | product181 | user1
