Transaction ID | Date | Total Cost | Customer ID | Product ID | Discounts/Promotions Applied
transaction1 | 2021-07-03 | 164 | customer140 | product182 | 0
transaction2 | 2020-03-03 | 51 | customer427 | product347 | 0
transaction3 | 2020-02-20 | 115 | customer253 | product317 | 0
transaction4 | 2022-04-08 | 76 | customer249 | product201 | 0
transaction5 | 2022-07-14 | 199 | customer326 | product331 | 0
transaction6 | 2019-09-02 | 17 | customer276 | product163 | 0
transaction7 | 2020-01-31 | 118 | customer195 | product320 | 0
transaction8 | 2019-09-18 | 136 | customer120 | product465 | 0
transaction9 | 2021-09-11 | 65 | customer438 | product211 | 0
transaction10 | 2021-07-26 | 32 | customer377 | product32 | 0
transaction11 | 2019-02-14 | 123 | customer290 | product401 | 0
transaction12 | 2020-09-22 | 177 | customer381 | product363 | 0
transaction13 | 2019-09-28 | 41 | customer80 | product96 | 0
transaction14 | 2019-02-12 | 70 | customer159 | product495 | 0
transaction15 | 2022-06-06 | 110 | customer143 | product263 | 0
transaction16 | 2021-08-17 | 155 | customer164 | product154 | 0
transaction17 | 2019-06-15 | 5 | customer464 | product34 | 0
transaction18 | 2022-03-07 | 58 | customer215 | product206 | 0
transaction19 | 2022-06-06 | 123 | customer91 | product231 | 0
transaction20 | 2020-03-29 | 190 | customer12 | product254 | 0
transaction21 | 2021-08-22 | 101 | customer245 | product290 | 0
transaction22 | 2020-01-03 | 87 | customer235 | product464 | 0
transaction23 | 2023-05-29 | 189 | customer368 | product435 | 0
transaction24 | 2019-03-15 | 143 | customer376 | product317 | 0
transaction25 | 2022-03-01 | 180 | customer8 | product223 | 0
transaction26 | 2023-07-05 | 10 | customer122 | product47 | 0
transaction27 | 2022-04-26 | 69 | customer135 | product358 | 0
transaction28 | 2021-06-09 | 99 | customer8 | product261 | 0
transaction29 | 2021-07-23 | 158 | customer106 | product445 | 0
transaction30 | 2020-09-25 | 133 | customer297 | product340 | 0
transaction31 | 2022-09-07 | 137 | customer230 | product299 | 0
transaction32 | 2022-08-18 | 99 | customer196 | product72 | 0
transaction33 | 2022-01-31 | 44 | customer404 | product449 | 0
transaction34 | 2020-12-25 | 118 | customer411 | product81 | 0
transaction35 | 2023-07-18 | 155 | customer444 | product183 | 0
transaction36 | 2019-06-22 | 21 | customer42 | product245 | 0
transaction37 | 2021-08-02 | 112 | customer434 | product374 | 0
transaction38 | 2023-06-18 | 172 | customer62 | product153 | 0
transaction39 | 2023-03-13 | 166 | customer188 | product89 | 0
transaction40 | 2020-12-09 | 99 | customer301 | product392 | 0
transaction41 | 2019-01-03 | 105 | customer351 | product481 | 0
transaction42 | 2019-12-18 | 72 | customer166 | product163 | 0
transaction43 | 2022-07-07 | 55 | customer81 | product268 | 0
transaction44 | 2022-07-01 | 74 | customer67 | product383 | 0
transaction45 | 2023-11-21 | 191 | customer148 | product290 | 0
transaction46 | 2019-03-29 | 141 | customer263 | product374 | 0
transaction47 | 2021-10-06 | 27 | customer467 | product117 | 0
transaction48 | 2020-08-05 | 189 | customer292 | product488 | 0
transaction49 | 2022-01-03 | 34 | customer165 | product101 | 0
transaction50 | 2023-08-17 | 87 | customer179 | product480 | 0
transaction51 | 2022-09-02 | 72 | customer305 | product481 | 0
transaction52 | 2023-04-09 | 105 | customer359 | product316 | 0
transaction53 | 2020-07-22 | 5 | customer71 | product167 | 0
transaction54 | 2023-04-27 | 90 | customer423 | product433 | 0
transaction55 | 2019-07-16 | 179 | customer372 | product212 | 0
transaction56 | 2021-01-28 | 35 | customer176 | product317 | 0
transaction57 | 2019-04-08 | 150 | customer95 | product281 | 0
transaction58 | 2022-06-21 | 21 | customer441 | product318 | 0
transaction59 | 2020-07-06 | 167 | customer11 | product28 | 0
transaction60 | 2021-05-01 | 79 | customer61 | product195 | 0
transaction61 | 2020-08-31 | 166 | customer279 | product332 | 0
transaction62 | 2021-04-13 | 169 | customer415 | product445 | 0
transaction63 | 2019-01-18 | 138 | customer143 | product494 | 0
transaction64 | 2020-03-16 | 159 | customer314 | product155 | 0
transaction65 | 2023-11-05 | 138 | customer412 | product80 | 0
transaction66 | 2020-04-25 | 152 | customer492 | product157 | 0
transaction67 | 2023-12-06 | 8 | customer86 | product86 | 0
transaction68 | 2019-12-15 | 160 | customer218 | product206 | 0
transaction69 | 2019-07-28 | 72 | customer149 | product296 | 0
transaction70 | 2023-12-11 | 107 | customer415 | product417 | 0
transaction71 | 2019-04-06 | 150 | customer296 | product39 | 0
transaction72 | 2023-06-10 | 124 | customer238 | product314 | 0
transaction73 | 2020-10-14 | 34 | customer13 | product371 | 0
transaction74 | 2022-06-18 | 103 | customer408 | product249 | 0
transaction75 | 2021-12-25 | 88 | customer208 | product221 | 0
transaction76 | 2022-02-28 | 145 | customer161 | product461 | 0
transaction77 | 2022-04-09 | 112 | customer337 | product228 | 0
transaction78 | 2022-12-13 | 55 | customer200 | product180 | 0
transaction79 | 2022-01-01 | 75 | customer108 | product168 | 0
transaction80 | 2023-08-01 | 170 | customer77 | product474 | 0
transaction81 | 2022-01-06 | 116 | customer434 | product480 | 0
